Pollutant:,CH4,Unit: grams of CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0,0,0,0,0,2.63903E+11,2.67481E+11,2.67147E+11,2.64675E+11,2.65008E+11,2.65842E+11,2.66686E+11,2.67419E+11,2.68158E+11,2.68677E+11,2.69111E+11,2.69643E+11,2.70162E+11,2.70687E+11,2.71206E+11,2.71738E+11,2.72202E+11,2.72666E+11,2.73131E+11,2.73602E+11,2.74066E+11,2.74456E+11,2.74853E+11,2.75262E+11,2.75659E+11,2.76049E+11,2.76451E+11,2.76855E+11,2.77258E+11,2.77647E+11,2.78044E+11
coal mining 05,0,0,0,0,0,58184214096,35948234800,40662930360,38103253520,33854427280,30707004080,31098748120,30455531800,30098848480,29393198320,28382106200,28128155960,28187347200,27644122000,27487417640,27402612480,27595123600,27728692120,28093091960,27965492680,28240099200,28035396000,28089864680,28058031240,27938381880,27685429560,27778949160,27797360800,27947096360,28786565320,28918887200
oil and gas extraction 06,0,0,0,0,0,1.25865E+12,1.23858E+12,1.24141E+12,1.2477E+12,1.25087E+12,1.25616E+12,1.25763E+12,1.25758E+12,1.25836E+12,1.25956E+12,1.26075E+12,1.26153E+12,1.26203E+12,1.26303E+12,1.26378E+12,1.26377E+12,1.26436E+12,1.26522E+12,1.26664E+12,1.26804E+12,1.26963E+12,1.27091E+12,1.2732E+12,1.27616E+12,1.27863E+12,1.28041E+12,1.28293E+12,1.28559E+12,1.28839E+12,1.29104E+12,1.2937E+12
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemicals 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cement and other nonmetallic minerals 239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iron and steel 241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
