Pollutant:,PM10,Unit: grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0,0,0,0,0,1.07E+06,1.07E+06,1.13E+06,1.15E+06,1.16E+06,1.17E+06,1.18E+06,1.20E+06,1.20E+06,1.21E+06,1.22E+06,1.22E+06,1.22E+06,1.22E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.21E+06,1.22E+06,1.23E+06,1.24E+06,1.25E+06,1.26E+06,1.27E+06
coal mining 05,0,0,0,0,0,1.68E+10,1.69E+10,1.92E+10,1.80E+10,1.85E+10,1.99E+10,2.32E+10,2.44E+10,2.66E+10,2.72E+10,2.68E+10,2.67E+10,2.62E+10,2.63E+10,2.60E+10,2.60E+10,2.62E+10,2.63E+10,2.68E+10,2.72E+10,2.62E+10,2.56E+10,2.55E+10,2.56E+10,2.60E+10,2.62E+10,2.62E+10,2.67E+10,2.69E+10,2.73E+10,2.67E+10
oil and gas extraction 06,0,0,0,0,0,5.75E+08,5.45E+08,5.52E+08,5.61E+08,6.01E+08,6.06E+08,5.93E+08,5.97E+08,6.22E+08,6.34E+08,6.51E+08,6.58E+08,6.70E+08,6.75E+08,6.79E+08,6.79E+08,6.81E+08,6.85E+08,6.85E+08,6.91E+08,7.02E+08,7.00E+08,7.06E+08,7.06E+08,7.14E+08,7.19E+08,7.26E+08,7.22E+08,7.23E+08,7.28E+08,7.37E+08
other mining and quarrying 07T08,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
food beverage and tobacco 10T12,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
textiles apparel and leather 13T15,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
wood products 16,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
pulp paper and printing 17T18,0,0,0,0,0,1.52E+08,1.52E+08,1.72E+08,1.71E+08,1.72E+08,1.69E+08,1.70E+08,1.70E+08,1.72E+08,1.73E+08,1.73E+08,1.75E+08,1.77E+08,1.77E+08,1.78E+08,1.79E+08,1.80E+08,1.81E+08,1.81E+08,1.82E+08,1.84E+08,1.85E+08,1.87E+08,1.88E+08,1.90E+08,1.90E+08,1.90E+08,1.90E+08,1.90E+08,1.90E+08,1.91E+08
refined petroleum and coke 19,0,0,0,0,0,1.15E+08,1.16E+08,1.19E+08,1.37E+08,1.41E+08,1.46E+08,1.58E+08,1.58E+08,1.55E+08,1.52E+08,1.59E+08,1.57E+08,1.59E+08,1.58E+08,1.61E+08,1.62E+08,1.64E+08,1.62E+08,1.63E+08,1.63E+08,1.61E+08,1.62E+08,1.63E+08,1.62E+08,1.61E+08,1.75E+08,1.74E+08,1.68E+08,1.65E+08,1.61E+08,1.65E+08
chemicals 20,0,0,0,0,0,3.29E+07,2.90E+07,3.11E+07,3.16E+07,3.37E+07,3.05E+07,2.88E+07,3.00E+07,3.13E+07,3.24E+07,3.33E+07,3.38E+07,3.46E+07,3.53E+07,3.60E+07,3.66E+07,3.75E+07,3.84E+07,3.89E+07,3.94E+07,3.99E+07,4.06E+07,4.18E+07,4.30E+07,4.39E+07,4.47E+07,4.51E+07,4.55E+07,4.55E+07,4.58E+07,4.75E+07
