Policies:,ngps - production methane capture,ngps - processing methane capture,ngps - T&D methane capture,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,3.84266E+11,3.83361E+11,3.9385E+11,4.0446E+11,4.15193E+11,4.26046E+11,4.49346E+11,4.7297E+11,4.9692E+11,5.21194E+11,5.45794E+11,5.49315E+11,5.52847E+11,5.56389E+11,5.59943E+11,5.63508E+11,5.45312E+11,5.27133E+11,5.0897E+11,4.90824E+11,4.72693E+11,4.54831E+11,4.36819E+11,4.18656E+11,4.00343E+11,3.81879E+11,3.63774E+11,3.4564E+11,3.27478E+11,3.09286E+11,2.91065E+11,2.72868E+11,2.54687E+11,2.36525E+11,2.18379E+11,2.00251E+11
10,20,7.7869E+12,7.76857E+12,7.98112E+12,8.19613E+12,8.41361E+12,8.63356E+12,9.1057E+12,9.58444E+12,1.00698E+13,1.05617E+13,1.10602E+13,1.11315E+13,1.12031E+13,1.12749E+13,1.13469E+13,1.14191E+13,1.10504E+13,1.0682E+13,1.0314E+13,9.94623E+12,9.57883E+12,9.21687E+12,8.85185E+12,8.4838E+12,8.11269E+12,7.73854E+12,7.37165E+12,7.00418E+12,6.63612E+12,6.26748E+12,5.89825E+12,5.52949E+12,5.16108E+12,4.79302E+12,4.42531E+12,4.05796E+12
20,30,5.51028E+12,5.49731E+12,5.64772E+12,5.79987E+12,5.95377E+12,6.10941E+12,6.44351E+12,6.78228E+12,7.12571E+12,7.47381E+12,7.82656E+12,7.87705E+12,7.92769E+12,7.9785E+12,8.02945E+12,8.08057E+12,7.81965E+12,7.55896E+12,7.29851E+12,7.0383E+12,6.77831E+12,6.52218E+12,6.26388E+12,6.00343E+12,5.74082E+12,5.47606E+12,5.21644E+12,4.9564E+12,4.69595E+12,4.43509E+12,4.17381E+12,3.91286E+12,3.65216E+12,3.39171E+12,3.13151E+12,2.87155E+12
30,40,2.60213E+11,2.59601E+11,2.66703E+11,2.73888E+11,2.81156E+11,2.88506E+11,3.04283E+11,3.20281E+11,3.36499E+11,3.52937E+11,3.69595E+11,3.7198E+11,3.74371E+11,3.7677E+11,3.79176E+11,3.8159E+11,3.69269E+11,3.56958E+11,3.44659E+11,3.32371E+11,3.20094E+11,3.07998E+11,2.958E+11,2.83501E+11,2.711E+11,2.58597E+11,2.46337E+11,2.34057E+11,2.21758E+11,2.09439E+11,1.97101E+11,1.84778E+11,1.72467E+11,1.60167E+11,1.4788E+11,1.35604E+11
40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,60,3.42799E+11,3.41993E+11,3.51349E+11,3.60815E+11,3.70389E+11,3.80072E+11,4.00856E+11,4.21931E+11,4.43297E+11,4.64952E+11,4.86897E+11,4.90038E+11,4.93189E+11,4.96349E+11,4.99519E+11,5.02699E+11,4.86467E+11,4.7025E+11,4.54047E+11,4.37858E+11,4.21685E+11,4.0575E+11,3.89681E+11,3.73478E+11,3.57141E+11,3.4067E+11,3.24519E+11,3.08342E+11,2.92139E+11,2.75911E+11,2.59656E+11,2.43422E+11,2.27204E+11,2.11001E+11,1.94814E+11,1.78642E+11
60,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
